year,monolingual English,monolingual Welsh,bilinguals,total
1901,1028609,309404,715099,2053111
1911,1367890,205063,848092,2421045
1921,1574034,156903,771502,2502438
1931,1639140,102706,851730,2593576
1951,1847262,43129,707727,2598118
1961,1967673,27654,663691,2659017
1971,2161678,34117,533596,2729391
1981,2230033,21723,497977,2749733
1991,2352952,0,537653,2890605
2001,2299243,0,603842,2903085
2002,1982700,0,812600,2795300
2003,2009800,0,795700,2805500
2004,2066500,0,766600,2833100
2005,2087300,0,754500,2841800
2006,2099800,0,757200,2857000
2007,2151600,0,726200,2877800
2008,2078500,0,746400,2824900
2009,2160900,0,739000,2899900
2010,2166300,0,743000,2909300
2011,2154300,0,769000,2923300
2012,2166400,0,767200,2933600
2013,2148200,0,794000,2942200
2014,2141800,0,811300,2953100
2015,2153900,0,808000,2961900
2016,2132300,0,843400,2975700
2017,2117200,0,871900,2989100
2018,2103900,0,898700,3002600
2019,2165800,0,857600,3023400